行类型,类别,项目,规格或假设,需求数量,采购数量,单位,单价_CNY,学校钢网自贴_CNY,嘉立创经济型SMT_CNY,成本口径,置信度,来源,备注
信息,范围,预算配置,15套 = 15个Hub + 每套6种异构模块各1个,15,15,套,,,,信息,高,../docs/bom.md,共15个Hub和90个模块；六种为IMU/光传感/旋钮/RGB LED/振动/音频
信息,制造状态,当前生产门槛,NO-GO：仅为prototype采购与工艺规划估算,,,,,,,信息,高,../../schematics/schematics.kicad_pcb | ../../schematics/schematics.kicad_sch,当前CAD为空占位；无Gerber/CPL/生产BOM；不能作为正式报价
信息,版本,预算日期,2026-07-24,,,,,,,信息,高,,所有动态价格以下单页面和审单结果为准
假设,通用,汇率换算,仅用于把仓库USD原型BOM换算为CNY,1,1,USD,7.20,,,输入,中,../docs/bom.md,不是实时外汇报价；可在正式采购前替换
假设,通用,电子与机械备件率,一般器件按10%备件并按包装取整,10,10,%,,,,输入,中,,pogo与磁铁按文档上限再取整
假设,通用,不确定性预备金,制造文件未冻结因此对现金小计加15%,15,15,%,,,,输入,中,,覆盖审单追加/返工/价差；不替代正式报价
成本,核心电子,MCU,ESP32-C3-MINI-1-N4,105,116,个,10.80,1252.80,1252.80,现金,中,../docs/bom.md,单价=仓库USD 1.50×7.20；数量含10%备件
成本,核心电子,CAN收发器,SN65HVD230DR,105,116,个,3.60,417.60,417.60,现金,中,../docs/bom.md,单价=仓库USD 0.50×7.20；数量含10%备件
成本,Hub电子,USB-C连接器,通用16-pin SMD且精确料号待冻结,15,17,个,2.16,36.72,36.72,现金,低,../docs/bom.md,单价=仓库USD 0.30×7.20
成本,Hub电子,充电模块,TP4056 module,15,17,个,3.60,61.20,61.20,现金,低,../docs/bom.md,架构可能在定制PCBA中改为裸芯片
成本,Hub电子,3.3V稳压器,AMS1117-3.3暂定且与TLV75901草案冲突,15,17,个,0.72,12.24,12.24,现金,低,../docs/bom.md | ../pcb/hub/elec/src/ti-tlv75901/ti-tlv75901.ato,正式BOM必须二选一
成本,Hub电源,1000mAh锂电池,3.7V带JST,15,17,个,21.60,367.20,367.20,现金,中,../docs/bom.md,单价=仓库USD 3.00×7.20
成本,连接机构,P75-B1弹簧针,按Hub 36个和module 18个上限,2160,2400,个,0.72,1728.00,1728.00,现金,低,../docs/bom.md,face topology尚未冻结；不要据此提前采购
成本,连接机构,N52磁铁,6mm×2mm且按Hub 12个和module 6个上限,720,800,个,0.72,576.00,576.00,现金,低,../docs/bom.md,结构尺寸和极性治具待验证
成本,外壳,Hub PLA外壳,校内3D打印材料估算,15,17,个,3.60,61.20,61.20,现金,中,../docs/bom.md | ../../openscad-model/hex_module.scad,未含打印机折旧
成本,外壳,Module PLA外壳,校内3D打印材料估算,90,99,个,3.60,356.40,356.40,现金,中,../docs/bom.md | ../../openscad-model/hex_module.scad,未含打印机折旧
成本,杂项电子,Hub阻容/LED/排针,仓库lump-sum估算,15,17,套,7.20,122.40,122.40,现金,低,../docs/bom.md,正式BOM需展开CC/ESD/BOOT/EN/去耦/CAN终端等
成本,杂项电子,Module阻容/排针,仓库lump-sum估算,90,99,套,3.60,356.40,356.40,现金,低,../docs/bom.md,正式BOM需展开全部位号与封装
成本,模块Add-on,IMU,MPU6050 GY-521,15,17,个,10.80,183.60,183.60,现金,中,../docs/bom.md,单价=仓库USD 1.50×7.20
成本,模块Add-on,RGB LED,WS2812B 8-pixel ring,15,17,个,18.00,306.00,306.00,现金,中,../docs/bom.md,单价=仓库USD 2.50×7.20
成本,模块Add-on,振动,DRV2605L breakout + ERM motor,15,17,套,28.80,489.60,489.60,现金,中,../docs/bom.md,单价=仓库USD 4.00×7.20
成本,模块Add-on,音频,MAX98357A breakout + 8ohm speaker,15,17,套,25.20,428.40,428.40,现金,中,../docs/bom.md,单价=仓库USD 3.50×7.20
成本,模块Add-on,光传感,GL5528 LDR + 10kohm divider,15,17,套,3.60,61.20,61.20,现金,中,../docs/bom.md,单价=仓库USD 0.50×7.20
成本,模块Add-on,旋钮,WH148 B100K,15,17,个,5.76,97.92,97.92,现金,中,../docs/bom.md,单价=仓库USD 0.80×7.20
